Name,WALS code,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Tarahumara (Western),twe,tac,Tarahumaran,Uto-Aztecan,North America,27.5,-108,Mexico
Tarangan (West),tgw,txn,Central Malayo-Polynesian,Austronesian,Papunesia,-6.5,134.17,Indonesia
Tarao,tao,tro,Kuki-Chin,Sino-Tibetan,Eurasia,24.25,94.17,India
Tariana,tar,tae,Inland Northern Arawakan,Arawakan,South America,1,-69.17,Brazil
Tarok,tok,yer,Platoid,Niger-Congo,Africa,9,10.08,Nigeria
Tashlhiyt,tas,shi,Berber,Afro-Asiatic,Africa,31,-5,Morocco
Tat (Muslim),tmu,ttt,Iranian,Indo-European,Eurasia,41.25,48.75,Azerbaijan
Tatana',tat,txx,North Borneo,Austronesian,Papunesia,5.5,115.5,Malaysia
Tatar,tvo,tat,Turkic,Altaic,Eurasia,56,49.5,Russia
Tatar (Baraba),ttb,tat,Turkic,Altaic,Eurasia,55.33,78.33,Russia
Tatar (Mishar),tmi,tat,Turkic,Altaic,Eurasia,55.5,49,Russia
Tatar-Noghay (Alabugat),tlb,nog,Turkic,Altaic,Eurasia,47.42,45.67,Russia
Tati (Southern),tts,tks,Iranian,Indo-European,Eurasia,36,49.67,Iran
Tatuyo,tty,tav,Tucanoan,Tucanoan,South America,0.42,-70.5,Colombia
Taulil,tll,tuh,Taulil,Taulil,Papunesia,-4.42,152.08,Papua New Guinea
Taushiro,tsr,trr,Taushiro,Taushiro,South America,-3.25,-75.5,Peru
Tausug,tsg,tsg,Greater Central Philippine,Austronesian,Papunesia,6,121,Malaysia
Tauya,tau,tya,Madang,Trans-New Guinea,Papunesia,-5.75,145.33,Papua New Guinea
Tawala,taw,tbo,Oceanic,Austronesian,Papunesia,-10.33,150.67,Papua New Guinea
Tayo,tay,cks,Creoles and Pidgins,other,Papunesia,-22,166.33,New Caledonia
Tboli,tbo,tbl,Bilic,Austronesian,Papunesia,6.17,124.5,Philippines
Tectiteco,tec,ttc,Mayan,Mayan,North America,15.42,-92.08,Guatemala
Tehit,tht,kps,West Bird's Head,West Papuan,Papunesia,-1.5,132,Indonesia
Tehuelche,teh,teh,Chon Proper,Chon,South America,-48,-68,Argentina
Teke (Southern),tks,kkw,Bantoid,Niger-Congo,Africa,-2.33,14.5,Congo
Telefol,tlf,tlf,Ok,Trans-New Guinea,Papunesia,-5,141.75,Papua New Guinea
Telugu,tel,tel,South-Central Dravidian,Dravidian,Eurasia,16,79,India
Tem,tem,kdh,Southern-Central Gur,Niger-Congo,Africa,8.67,0.5,Togo
Temein,tmn,teq,Temein,Eastern Sudanic,Africa,11.92,29.42,Sudan
Temiar,tmr,tea,Aslian,Austro-Asiatic,Eurasia,5,101.5,Malaysia
Temne,tne,tem,Mel,Niger-Congo,Africa,8.67,-13.08,Sierra Leone
Tennet,ten,tex,Surmic,Eastern Sudanic,Africa,4.42,32.5,South Sudan
Tenyer,tny,kza,Senufo,Niger-Congo,Africa,10.67,-4.5,Burkina Faso
Teop,teo,tio,Oceanic,Austronesian,Papunesia,-5.67,155,Papua New Guinea
Tepecano,tpc,tep,Tepiman,Uto-Aztecan,North America,21.75,-104.75,Mexico
Tepehua (Huehuetla),tee,tee,Totonacan,Totonacan,North America,20.5,-98,Mexico
Tepehua (Tlachichilco),tep,tpt,Totonacan,Totonacan,North America,20.58,-98.25,Mexico
Tepehuan (Northern),tpn,ntp,Tepiman,Uto-Aztecan,North America,26.33,-107,Mexico
Tepehuan (Southeastern),tps,stp,Tepiman,Uto-Aztecan,North America,23,-104.5,Mexico
Tera,ter,ttr,Biu-Mandara,Afro-Asiatic,Africa,11,11.83,Nigeria
Terêna,trn,ter,Bolivia-Parana,Arawakan,South America,-20,-56,Brazil
Teribe,trb,tfr,Talamanca,Chibchan,North America,9.33,-82.67,Panama
Ternate,trt,tft,North Halmaheran,West Papuan,Papunesia,0.83,127.25,Indonesia
Teso,tes,teo,Nilotic,Eastern Sudanic,Africa,1.83,33.83,Uganda
Tetela,tet,tll,Bantoid,Niger-Congo,Africa,-4,24,Democratic Republic of Congo
Tetun,ttn,tet,Central Malayo-Polynesian,Austronesian,Papunesia,-9,126,East Timor
Tetun Dili,ttd,tet,Central Malayo-Polynesian,Austronesian,Papunesia,-8.58,125.58,East Timor
Tewa (Arizona),tew,tew,Kiowa-Tanoan,Kiowa-Tanoan,North America,35.83,-110.42,United States
Tewa (Rio Grande),trg,tew,Kiowa-Tanoan,Kiowa-Tanoan,North America,36.25,-106.17,United States
Tewa (San Juan Pueblo),tsj,tew,Kiowa-Tanoan,Kiowa-Tanoan,North America,36.08,-106.08,United States
Thadou,thd,tcz,Kuki-Chin,Sino-Tibetan,Eurasia,24.42,93.92,India
Thai,tha,tha,Kam-Tai,Tai-Kadai,Eurasia,16,101,Thailand
Thai Sign Language,ths,tsq,Sign Languages,other,Eurasia,15,101,Thailand
Thakali,thk,ths,Bodic,Sino-Tibetan,Eurasia,29,83.75,Nepal
Thangmi,thn,thf,Mahakiranti,Sino-Tibetan,Eurasia,27.75,86,Nepal
Thao,thw,ssf,Western Plains Austronesian,Austronesian,Papunesia,23.88,120.92,Taiwan
Thaypan,thp,typ,Northern Pama-Nyungan,Pama-Nyungan,Australia,-14.83,143.17,Australia
Thompson,tho,thp,Interior Salish,Salishan,North America,49.75,-121.75,Canada
Thulung,thu,tdh,Mahakiranti,Sino-Tibetan,Eurasia,27.42,86.5,Nepal
Tibetan (Dingri),tdi,bod,Bodic,Sino-Tibetan,Eurasia,28.5,86.5,China
Tibetan (Drokpa),tdr,bod,Bodic,Sino-Tibetan,Eurasia,32.25,81.25,China
Tibetan (Modern Literary),tmo,bod,Bodic,Sino-Tibetan,Eurasia,29.83,91.5,China
Tibetan (Shigatse),tis,bod,Bodic,Sino-Tibetan,Eurasia,29,89,China
Tibetan (Standard Spoken),tib,bod,Bodic,Sino-Tibetan,Eurasia,30,91,China
Ticuna,tic,tca,Ticuna,Ticuna,South America,-4,-70.5,Brazil
Tidore,tid,tvo,North Halmaheran,West Papuan,Papunesia,0.75,127.5,Indonesia
Tifal,tif,tif,Ok,Trans-New Guinea,Papunesia,-5,141.33,Papua New Guinea
Tigak,tgk,tgc,Oceanic,Austronesian,Papunesia,-2.72,150.8,Papua New Guinea
Tigré,tgr,tig,Semitic,Afro-Asiatic,Africa,16.5,38.5,Eritrea
Tigré (Beni Amer),tbe,tig,Semitic,Afro-Asiatic,Africa,15.5,38,Eritrea
Tigrinya,tig,tir,Semitic,Afro-Asiatic,Africa,14.5,38.5,Ethiopia
Tiipay (Jamul),tja,dih,Yuman,Hokan,North America,32.17,-116.5,Mexico
Tikar,tik,tik,Bantoid,Niger-Congo,Africa,5.83,11.67,Cameroon
Tillamook,til,til,Tillamook,Salishan,North America,45.33,-123.75,United States
Tima,tia,tms,Katla-Tima,Kordofanian,Africa,11.67,29.25,Sudan
Timorese,tse,aoz,Central Malayo-Polynesian,Austronesian,Papunesia,-9.67,124.5,Indonesia
Timucua,tmc,tjm,Timucua,Timucua,North America,30.25,-82.5,United States
Timugon,tim,tih,North Borneo,Austronesian,Papunesia,5,116,Malaysia
Tinani,tni,lbf,Bodic,Sino-Tibetan,Eurasia,32.33,77.17,India
Tindi,tnd,tin,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.37,46.25,Russia
Tinrin,tin,cir,Oceanic,Austronesian,Papunesia,-21.67,165.75,New Caledonia
Tiriyo,tir,tri,Cariban,Cariban,South America,3.25,-55.75,Suriname
Tirmaga,trm,suq,Surmic,Eastern Sudanic,Africa,5.75,35.25,Ethiopia
Tiruray,try,tiy,Bilic,Austronesian,Papunesia,6.75,124.17,Philippines
Tiv,tiv,tiv,Bantoid,Niger-Congo,Africa,7.5,9,Nigeria
Tiwa (Northern),twn,twf,Kiowa-Tanoan,Kiowa-Tanoan,North America,36.5,-105.5,United States
Tiwa (Southern),tws,tix,Kiowa-Tanoan,Kiowa-Tanoan,North America,35,-106.33,United States
Tiwi,tiw,tiw,Tiwian,Tiwian,Australia,-11.5,131,Australia
Tlapanec,tlp,tcf,Subtiaba-Tlapanec,Oto-Manguean,North America,17.08,-99,Mexico
Tlingit,tli,tli,Tlingit,Na-Dene,North America,59,-135,United States
Toaripi,toa,tqo,Eleman Proper,Eleman,Papunesia,-8.33,146.25,Papua New Guinea
Toba,tob,tob,South Guaicuruan,Guaicuruan,South America,-26.5,-59,Argentina
Tobati,tbt,tti,Oceanic,Austronesian,Papunesia,-2.58,140.67,Indonesia
Tobelo,tlo,tlb,North Halmaheran,West Papuan,Papunesia,1.5,128.5,Indonesia
Tod,tod,sbu,Bodic,Sino-Tibetan,Eurasia,32.42,77.25,India
Toda,tda,tcx,Southern Dravidian,Dravidian,Eurasia,11.42,76.75,India
Tofa,tof,kim,Turkic,Altaic,Eurasia,53.75,98,Russia
Tojolabal,toj,toj,Mayan,Mayan,North America,16.33,-91.5,Mexico
Tok Pisin,tpi,tpi,Creoles and Pidgins,other,Papunesia,-9.5,147.17,Papua New Guinea
Tokelauan,tke,tkl,Oceanic,Austronesian,Papunesia,-9,-172,Tokelau
Tol,tol,jic,Tol,Tol,North America,14.67,-87,Honduras
Tolai,tla,ksd,Oceanic,Austronesian,Papunesia,-4.25,152.08,Papua New Guinea
Tondano,tno,tdn,Minahasan,Austronesian,Papunesia,1.25,125,Indonesia
Tonga (in Zambia),toz,toi,Bantoid,Niger-Congo,Africa,-17,27,Zambia
Tongan,tng,ton,Oceanic,Austronesian,Papunesia,-21.17,-175.17,Tonga
Tonkawa,ton,tqw,Tonkawa,Tonkawa,North America,30.25,-96.75,United States
Tontemboan,tnt,tnt,Minahasan,Austronesian,Papunesia,1.08,124.5,Indonesia
Toqabaqita,toq,mlu,Oceanic,Austronesian,Papunesia,-8.42,160.58,Solomon Islands
Toraja,trd,sda,South Sulawesi,Austronesian,Papunesia,-3,119.75,Indonesia
Toratán,tor,rth,Sangiric,Austronesian,Papunesia,1.08,124.83,Indonesia
Toro So,dts,dts,Dogon,Dogon,Africa,14.42,-3.25,Burkina Faso
Torwali,trw,trw,Indic,Indo-European,Eurasia,34.25,72,Pakistan
Totonac (Misantla),tot,tlc,Totonacan,Totonacan,North America,19.92,-96.92,Mexico
Totonac (Papantla),tpa,top,Totonacan,Totonacan,North America,20.33,-97.33,Mexico
Totonac (Sierra),tos,tos,Totonacan,Totonacan,North America,19.92,-97.42,Mexico
Totonac (Xicotepec de Juárez),txj,too,Totonacan,Totonacan,North America,20.42,-97.83,Mexico
Trique (Chicahuaxtla),trc,trs,Mixtecan,Oto-Manguean,North America,17.17,-97.83,Mexico
Trique (Copala),tri,trc,Mixtecan,Oto-Manguean,North America,17.17,-97.92,Mexico
Trumai,tru,tpy,Trumai,Trumai,South America,-11.92,-53.58,Brazil
Tsafiki,tsf,cof,Barbacoan,Barbacoan,South America,-1,-79.33,Ecuador
Tsakhur,tsa,tkr,Lezgic,Nakh-Daghestanian,Eurasia,41.67,47.17,Azerbaijan
Tsat,tst,huq,Malayo-Sumbawan,Austronesian,Eurasia,18.25,109.5,China
Tsez,tsz,ddo,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.25,45.75,Russia
Tshangla,tgl,tsj,Bodic,Sino-Tibetan,Eurasia,27.83,92.17,Bhutan
Tsimshian (Coast),tsi,tsi,Tsimshianic,Penutian,North America,52.5,-129,Canada
Tsogo,tgo,tsv,Bantoid,Niger-Congo,Africa,-1.5,11.33,Gabon
Tsonga,tsn,tso,Bantoid,Niger-Congo,Africa,-24,32,Mozambique
Tsou,tso,tsu,Tsou,Austronesian,Papunesia,23.5,120.75,Taiwan
Tsova-Tush,ttu,bbl,Nakh,Nakh-Daghestanian,Eurasia,42.5,45.5,Georgia
Tswana,tsw,tsn,Bantoid,Niger-Congo,Africa,-24,26,South Africa
Tuamotuan,tua,pmt,Oceanic,Austronesian,Papunesia,-17,-144,French Polynesia
Tuareg (Ahaggar),tug,thv,Berber,Afro-Asiatic,Africa,23,6,Libya
Tuareg (Air),tai,thv,Berber,Afro-Asiatic,Africa,19,9,Niger
Tuareg (Ghat),tgh,thv,Berber,Afro-Asiatic,Africa,25,10.17,Libya
Tubar,tub,tbu,Tubar,Uto-Aztecan,North America,27,-108,Mexico
Tübatulabal,tbb,tub,California Uto-Aztecan,Uto-Aztecan,North America,36,-118.33,United States
Tubu,tbu,"dzg, tuq",Western Saharan,Saharan,Africa,16,15,Chad
Tucano,tuc,tuo,Tucanoan,Tucanoan,South America,0.5,-69.17,Colombia
Tugun,tgn,tzn,Central Malayo-Polynesian,Austronesian,Papunesia,-7.72,126.75,Indonesia
Tukang Besi,tuk,"bhq, khc",Celebic,Austronesian,Papunesia,-5.5,123.5,Indonesia
Tuki,tki,bag,Bantoid,Niger-Congo,Africa,4.58,11.5,Cameroon
Tulu,tul,tcy,Southern Dravidian,Dravidian,Eurasia,12.75,75.33,India
Tumak,tmk,tmc,East Chadic,Afro-Asiatic,Africa,9.5,17.33,Chad
Tumleo,tum,tmq,Oceanic,Austronesian,Papunesia,-3.08,142.42,Papua New Guinea
Tümpisa Shoshone,tsh,par,Numic,Uto-Aztecan,North America,37,-117,United States
Tunebo,tnb,tnd,Tunebo,Chibchan,South America,6.75,-72.25,Colombia
Tunen,tnn,tvu,Bantoid,Niger-Congo,Africa,4.75,10.67,Cameroon
Tungak,tnk,lcm,Oceanic,Austronesian,Papunesia,-2.55,150.25,Papua New Guinea
Tunica,tun,tun,Tunica,Tunica,North America,32.67,-91,United States
Tupuri,tpr,tui,Mbumic,Niger-Congo,Africa,10.17,14.75,Chad
Türk Isaret Dili,tui,tsm,Sign Languages,other,Eurasia,39,34,Turkey
Turkana,tna,tuv,Nilotic,Eastern Sudanic,Africa,3,35.5,Kenya
Turkic (East-Central Xorasan),tex,kmz,Turkic,Altaic,Eurasia,37,59,Iran
Turkic (West Xorasan),twx,kmz,Turkic,Altaic,Eurasia,36.67,56,Iran
Turkish,tur,tur,Turkic,Altaic,Eurasia,39,35,Turkey
Turkmen,tkm,tuk,Turkic,Altaic,Eurasia,40,58,Turkmenistan
Tuscarora,tus,tus,Northern Iroquoian,Iroquoian,North America,36,-77.5,United States
Tutchone (Northern),tut,ttm,Athapaskan,Na-Dene,North America,63,-137,Canada
Tutelo,tte,tta,Core Siouan,Siouan,North America,37.67,-78.75,United States
Tutsa,tvt,tvt,Northern Naga,Sino-Tibetan,Eurasia,27.5,96.5,India
Tuvaluan,tvl,tvl,Oceanic,Austronesian,Papunesia,-8.5,179.17,Tuvalu
Tuvan,tuv,tyv,Turkic,Altaic,Eurasia,52,95,Russia
Tuyuca,tuy,tue,Tucanoan,Tucanoan,South America,0.5,-70.08,Colombia
Twana,twa,twa,Central Salish,Salishan,North America,47.67,-122.75,United States
Tyeraity,tye,woa,Northern Daly,Northern Daly,Australia,-13,130.33,Australia
Tzeltal,tze,tzh,Mayan,Mayan,North America,16.83,-92.25,Mexico
Tzeltal (Aguacatenango),tza,tzh,Mayan,Mayan,North America,16.42,-92.5,Mexico
Tzeltal (Tenejapa),tzt,tzh,Mayan,Mayan,North America,16.67,-92.33,Mexico
Tzotzil,tzo,tzo,Mayan,Mayan,North America,16.5,-92.67,Mexico
Tzutujil,tzu,tzj,Mayan,Mayan,North America,14.67,-91.33,Guatemala
Ubykh,uby,uby,Northwest Caucasian,Northwest Caucasian,Eurasia,43.67,39.67,Russia
Udi,udi,udi,Lezgic,Nakh-Daghestanian,Eurasia,41,48,Azerbaijan
Udihe,udh,ude,Tungusic,Altaic,Eurasia,47.67,136.25,Russia
Udmurt,udm,udm,Permic,Uralic,Eurasia,57.5,52.5,Russia
Ugandan Sign Language,ugs,ugn,Sign Languages,other,Africa,1,32.5,Uganda
Ukrainian,ukr,ukr,Slavic,Indo-European,Eurasia,49,33,Ukraine
Ulcha,ulc,ulc,Tungusic,Altaic,Eurasia,52.25,140.33,Russia
Uldeme,uld,udl,Biu-Mandara,Afro-Asiatic,Africa,10.95,14.12,Cameroon
Ulithian,uli,uli,Oceanic,Austronesian,Papunesia,9.92,139.58,Micronesia
Uma,uma,ppk,Celebic,Austronesian,Papunesia,-1.83,120,Indonesia
Umaua,umu,cbd,Cariban,Cariban,South America,1,-72,Colombia
Umbu Ungu,kgl,ubu,Chimbu,Trans-New Guinea,Papunesia,-6,144,Papua New Guinea
UMbundu,umb,umb,Bantoid,Niger-Congo,Africa,-12.5,15,Angola
Umpila,ump,ump,Northern Pama-Nyungan,Pama-Nyungan,Australia,-13.5,143.5,Australia
Una,una,mtg,Mek,Trans-New Guinea,Papunesia,-4.67,140,Indonesia
Unami,unm,unm,Algonquian,Algic,North America,40,-75.17,United States
Ungarinjin,ung,ung,Worrorran,Worrorran,Australia,-16.33,126,Australia
Upper Kuskokwim,uku,kuu,Athapaskan,Na-Dene,North America,63,-157,United States
Ura,ura,uur,Oceanic,Austronesian,Papunesia,-18.67,169.08,Vanuatu
Uradhi,uhi,urf,Northern Pama-Nyungan,Pama-Nyungan,Australia,-11.92,142.42,Australia
Urak Lawoi',url,urk,Malayo-Sumbawan,Austronesian,Eurasia,8,98.33,Thailand
Urarina,urn,ura,Urarina,Urarina,South America,-4.5,-75.5,Peru
Urat,urt,urt,Wapei-Palei,Torricelli,Papunesia,-3.67,142.83,Papua New Guinea
Urdu,urd,urd,Indic,Indo-European,Eurasia,25,67,Pakistan
Urhobo,urh,urh,Edoid,Niger-Congo,Africa,5.58,6,Nigeria
Urim,uri,uri,Urim,Torricelli,Papunesia,-3.58,142.67,Papua New Guinea
Uru,uru,ure,Uru-Chipaya,Uru-Chipaya,South America,-16.75,-69,Bolivia
Urubú Sign Language,usl,uks,Sign Languages,other,South America,-2.33,-46,Brazil
Urubú-Kaapor,urk,urb,Tupi-Guaraní,Tupian,South America,-2.33,-46.5,Brazil
Urum,urm,uum,Turkic,Altaic,Eurasia,47.12,37.55,Ukraine
Usan,usa,wnu,Madang,Trans-New Guinea,Papunesia,-4.83,145.17,Papua New Guinea
Usarufa,usr,usa,Eastern Highlands,Trans-New Guinea,Papunesia,-6.42,145.58,Papua New Guinea
Ute,ute,ute,Numic,Uto-Aztecan,North America,39,-109,United States
Uyghur,uyg,uig,Turkic,Altaic,Eurasia,40,80,China
Uzbek,uzb,"uzn, uzs",Turkic,Altaic,Eurasia,39,66,Uzbekistan
Uzbek (Northern),uzn,uzn,Turkic,Altaic,Eurasia,40.67,66.5,Uzbekistan
Vafsi,vaf,vaf,Iranian,Indo-European,Eurasia,34.67,49.92,Iran
Vagla,vag,vag,Southern-Central Gur,Niger-Congo,Africa,9.42,-2.42,Ghana
Vai,vai,vai,Western Mande,Mande,Africa,6.92,-11.25,Sierra Leone
Vasavi,vas,vas,Indic,Indo-European,Eurasia,24.5,71.5,India
Vata,vat,dic,Kru,Niger-Congo,Africa,5.83,-5.42,Côte d'Ivoire
Vedda,ved,ved,Indic,Indo-European,Eurasia,7,81,Sri Lanka
Venda,ven,ven,Bantoid,Niger-Congo,Africa,-22,30,South Africa
Veps,vep,vep,Finnic,Uralic,Eurasia,60,35,Russia
Vietnamese,vie,vie,Viet-Muong,Austro-Asiatic,Eurasia,10.5,106.5,Vietnam
Vili,vif,vif,Bantoid,Niger-Congo,Africa,-5.5,14,Congo
Vinmavis,vnm,vnm,Oceanic,Austronesian,Papunesia,-16.17,167.42,Vanuatu
Vlaamse Gebarentaal,vla,vgt,Sign Languages,other,Eurasia,51,4,Belgium
Votic,vot,vot,Finnic,Uralic,Eurasia,59.5,30,Russia
Waama,wwa,wwa,Northern-Central Gur,Niger-Congo,Africa,10.58,1.67,Benin
Wagawaga,wkw,wkw,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,-26.5,152.5,Australia
Wagiman,wag,waq,Wagiman,Wagiman,Australia,-14,131.25,Australia
Wahgi,wah,"wgi, whg",Chimbu,Trans-New Guinea,Papunesia,-5.83,144.72,Papua New Guinea
Wai Wai,wai,waw,Cariban,Cariban,South America,1,-59,Guyana
Waigali,wgl,wbk,Nuristani,Indo-European,Eurasia,35,71.25,Afghanistan
Waimaha,bno,bao,Tucanoan,Tucanoan,South America,0.33,-70.25,Colombia
Wakhi,wak,wbl,Iranian,Indo-European,Eurasia,36.5,72,Pakistan
Wallisian,wll,wls,Oceanic,Austronesian,Papunesia,-13.3,-176.2,Wallis and Futuna
Walman,wal,van,Wapei-Palei,Torricelli,Papunesia,-3.22,142.5,Papua New Guinea
